news, label
"Малчдын хотонд төлийн дуу цангинаад эхэлжээ. ХХААЯ-наас ирүүлсэн мэдээгээр улсын хэмжээнд 555.8 мянган эх мал төллөж, 546.3 төл буюу 1369 ботго, 1821 унага, 12.2 мянган тугал, 245.7 мянган хурга, 285.3 мянган ишиг хүлээн аваад байна. Төлийн бойжилт 98.8 хувьтай байгаа гэнэ. Харин Ховд аймгийн төллөвөл зохих эх малын 22.5 хувь төллөн тэргүүлж байна.",байгал орчин
"Нийслэлийн аялал жуулчлалын зөвлөлийн анхдугаар хуралдаан боллоо. Хуралдааныг нийслэлийн Засаг дарга бөгөөд Улаанбаатар хотын Захирагч Э.Бат-Үүл даргалж тур оператор, зочид буудал, зоогийн газар, агаарын тээвэр, төмөр замын салбарын төлөөлөл болсон зөвлөлийн гишүүд оролцлоо. Хуралдаанаар “Найрсаг Улаанбаатар” хөтөлбөр, нийслэлийн аялал жуулчлалын өнөөгийн байдал, “Найрсаг Улаанбаатар” хөтөлбөрийг 2015 онд хэрэгжүүлэх ажлын төлөвлөгөө, хөтөлбөрийн хүрээнд нийслэл хотод 2015 онд зохион байгуулах аялал жуулчлал, соёл урлаг, спортын арга хэмжээний төлөвлөгөө, “Найрсаг Улаанбаатар” аяны талаар хэлэлцэв. Нийслэлийн Иргэдийн Төлөөлөгчдийн Хурлын 2014 оны 19/24 дүгээр тогтоолоор батлагдсан “Найрсаг Улаанбаатар” хөтөлбөрийг 2015 онд хэрэгжүүлэх үйл ажиллагааны төлөвлөгөөнд гишүүдийн саналыг тусган баталж, нийслэл хотод аялал жуулчлалыг хөгжүүлэх, хотын соёлыг дэлгэрүүлэх, төрийн болон нийтийн үйлчилгээнд эерэг харилцаа, хандлагыг төлөвшүүлэх зорилготой “Найрсаг Улаанбаатар"" аяныг хувийн хэвшил, хэвлэл мэдээлэл, иргэний нийгмийн байгууллагуудтай хамтран хэрэгжүүлэх нь зүйтэй гэсэн зөвлөмжийг гаргалаа. Хувийн хэвшлийн төлөөлөл давамгайлсан аялал жуулчлалын зөвлөл байгуулагдсан нь тус салбарын хувьд анхных бөгөөд шийдвэр гаргах түвшинд хувийн хэвшлийн оролцоог хангасан бодит алхам болж байна гэж нийслэлийн Аялал жуулчлалын газраас мэдээллээ.",байгал орчин
"Тэмээг сургаж, гэршүүлэн тэжээнэ гэдэг тийм ч ер бусын содон зүйл биш. Ази болон Африкын олон газарт хоёр болон нэг бөхтэй тэмээ амьдардгийн дотор тэмээ нь Монгол, Казакстан зэрэг орнуудын хөгжилд тодорхой байр суурийг эзэлж, эдийн засгийн хувьд чухал амьтдын нэгд тооцогддог. Гэтэл Дэлхийн хөгжилтэй орнуудын нэг Англи улсын жирийн нэгэн айл гэрт тэмээ тус өрхийн нэг гишүүнд тооцогдон амьдарч байна гэдэг тийм ч ердийн зүйл биш юм. Британий Fossett-ынхон хэмээх сонирхолтой гэр бүлийн зургийн цомгоор аялж, тус гэр бүлийн хүндэт гишүүн болсон тэмээтэй танилцацгаая. Энэхүү зураг дээр Rebecca болон Joseph Fossett нар 13 настай Daisy охин, 10 настай Leo хүү мөн Kazak нэртэй тэмээнийхээ хамт харагдаж байна. Йоркшир мужийн Айдликот сууринд амьдардаг Fossett-ын гэр бүлийнхэн Kazak-аас гадна Ruby, Sahara, Sophia, Veneta нарын тэмээнүүдтэй. Тэд тэмээнүүдээ гэрийнхээ хажууханд байх талбайд бэлчээрлүүлдэг байна. (Picture: Richard Grange / Barcroft India)   Тус гэр бүлийнхэн заримдаа суурингийн оршин суугчдын хувьд хэдийний танил болсон тэмээнүүдээ тээврийн хэрэгсэл болгон ашиглах нь ч бий. Fossett-ынхон тэмээгээ унан суурингийнхаа дэлгүүрээр хэсэж байгаа нь. Сургуульдаа явахдаа ч тэд тэмээгээ унах нь бий. Rebecca хэлэхдээ “Тэд бол бидний гэр бүлийн нэг хэсэг. Хүүхдүүд маань биднээс илүү тэмээгээ хайрлах юмаа гэж наргиан болгодог.” гэсэн байна. Тус гэр бүлийн таван жилийн турш тэжээж байгаа тэмээнүүдийн гурав нь хоёр бөхтэй, гурав нь нэг бөхтэй тэмээ юм. Циркчин гэр бүлд төрж өссөн Joseph-ын хувьд 2000 кг хүртэл жинтэй энэ амьтдыг маллах баялаг туршлагатай нэгэн юм. 52 настай Joseph хэлэхдээ “Намайг жаахан байхад надад тэмээ байдаг байсан учир би тэмээнд маш их хайртай болсон. Манайд олон нохой, муур, өмхий хүрэн байдаг байсан. Мэдээж хэрэг амьтан тэжээнэ гэдэг зардалгүй хэрэг биш. Гэхдээ би цайны төлөө амьтдаа худалдаагүй. Бид бол Нэгдсэн Вант улсад бүхэл бүтэн сүрэг мал тэжээдэг цорын ганц гэр бүл. Бид юуг ч өөрчлөхийг хүсэхгүй байгаа.” гэсэн байна. Rebecca-гийн хэлснээр хүмүүсийн дунд тэмээний нэр хүнд тийм ч сайн биш бөгөөд хүмүүс тэмээг муу ааштай, үргэлж тургиж нулимж байдаг, муухай үнэртэй амьтан гэж боддог. Гэвч энэ бол үнэн зүйл биш. Тэд хүмүүст хайртай, тэд цэцэрлэгийн хаалганы дэргэдүүр хэн нэгэн хүн өнгөрөх бүрт тийшээ очдог гэнэ. Энэ амьтдыг тэжээхэд жилд хэдэн мянган фунт зарцуулдаг. Жилдээ 400 хүртэл тооны боодол өвс идэж, хэдэн мянган галлон ус уудаг тэмээнүүддээ Fosset-ын гэр бүл чихрийн манжин, арвай, овьёос өгдөг байна. Тэмээнүүд нь гүзээлзгэнэ болон амттанд маш дуртай. Гэрийн эзэн Joseph “Тэд бол тийм ч хямдхан амьтад биш. Бид хэдий хэмжээний мөнгө зарцуулдаг болохоо тодорхойлж мэдэхгүй. Бид тэмээний асаргаа арчилгаа, малын хашааны засварт хэдийг зарцуулдагаа мэдэхгүй. Бид тэдэнд ямар их мөнгө зарцуулах хэрэгтэй болдгийг мэддэг учир танд энэ амьтныг тэжээгээрэй гэж хэлж чадахгүй.” хэмээн өгүүлжээ.   Сүүлийнхээ хоёр тэмээг худалдаж авсныхаа дараа Joseph Amazing Camels нэртэй өөрийн компанийг байгуулахаар шийдсэн тус гэр бүл тэмээнүүдээ янз бүрийн тэмцээн наадам, үйл явдлуудад хөлслүүлдэг байна. Rebecca хэлэхдээ “Хүмүүс тэмээг маань хөлслөх дуртай. Хүүхдүүд тэмээнүүдэд маань хайртай. Хүмүүс тэмээнүүдийг маань тэмээн поло, тэмээ унах тэр ч бүү хэл хуримын тээврийн хэрэгсэл болгохоор хөлсөлж авдаг.” гэжээ. Хэдхэн жилийн өмнөх энэхүү гэр бүлийн зурагт Fosset-ын гэр бзл залуу Kazak-ын хамт гал тогооныхоо өрөөнд байгаа нь харагдаж байна.",байгал орчин
"Олон улсын хөтөлбөрийн сургалттай төрийн өмчийн ерөнхий боловсролын “Шинэ эрин”, “Шинэ эхлэл”, “Монгол тэмүүлэл” сургуулиуд суралцагчдаа бүртгэж эхэлсэн байна.  Бүртгэлийг энэ сарын 9-24-ныг дуустал Боловсролын үнэлгээний төвийн байранд зохион байгуулах ажээ.  Тус сургуулиудад суралцахыг хүсэгч нь хэд хэдэн шаардлагыг хангасан байх ёстой. Тодруулбал, 2011-2012 оны хичээлийн жилд Ерөнхий боловсролын сургууль /Кембрижийн (CIE) болон Олон улсын бакалавриатийн (IB) хөтөлбөрөөр хичээллэж буй сургууль хамаарахгүй/-ийн V, VIII ангийг төгсөж, 2012-2013 оны хичээлийн жилд VII, IX ангид суралцах сурагч байх VII ангийн сонгон шалгаруулалтад оролцох сурагчдын хувьд ерөнхий боловсролын сургуулийн V ангид судалсан хичээлүүдийн жилийн эцсийн үнэлгээний дундаж хувь нь 90 буюу түүнээс дээш байх IX ангийн сонгон шалгаруулалтад оролцох сурагчдын хувьд ерөнхий боловсролын сургуулийн VIII ангид судалсан хичээлүүдийн жилийн эцсийн үнэлгээний дундаж хувь нь 80 буюу түүнээс дээш байх Сонгон шалгаруулалтад бүртгүүлэхдээ дор дурьдсан материалыг бүрдүүлэн, өөрийн биеэр очих хэрэгтэй.  Үүнд: Суралцахыг дэмжсэн эцэг, эх, асран хамгаалагчийн гаргасан хүсэлт Төрсний гэрчилгээний хуулбар /Бүртгүүлэхдээ эх хувийг авч ирнэ./ Сурагчийн хувийн хэрэг /Шалгалтын дараа буцааж олгоно./ Сурагчийн одоогийн сурч буйг болон үнэлгээний дунджийг баталгаажуулсан сургуулийн тодорхойлолт Бүртгэлийн хураамж VII ангид бүртгүүлэх хүүхэд 10,000 төгрөг,  IX ангид бүртгүүлэх хүүхэд 15,000 төгрөгний бүртгэлийн хураамж тус тус авч ирнэ. / БОЛОВСРОЛ, СОЁЛ, ШИНЖЛЭХ УХААНЫ ЯАМ БОЛОВСРОЛЫН ҮНЭЛГЭЭНИЙ ТӨВ",боловсрол
"БСШУЯ-наас Монгол Улсын иргэдийг хоёр улсын Засгийн газар хоорондын гэрээ, хэлэлцээрийн дагуу болон Сургалтын төрийн сангийн санхүүжилтээр гадаадын их, дээд сургууль, коллежид суралцуулах ажлыг зохион байгуулдаг. Харин энэ жилийн хувьд хэчнээн оюутныг гэрээ хэлэлцээрийн хүрээнд сургах талаар БСШУЯ-ны Мэргэжлийн боловсролын газрын мэргэжилтэн Ч.Шинэбаяраас тодрууллаа. -Хоёр улсын Засгийн газрын гэрээний дагуу оюутнуудыг гадаадын улс оронд сургах ажлыг зохион байгуулдаг. Энэ жилийн хувьд хэчнээн оюутныг сургах вэ? -Засгийн газар хоорондын гэрээ хэлэлцээрийн дагуу нийт 16 оронд магистрант, докторантад суралцуулдаг байгаа. 2012-2013 оны хичээлийн жилд 840 орчим хүн энэ гэрээ хэлэлцээрийн дагуу суралцана. Тэдгээрийн 600 орчим бакалаврын төвшнийх байх болно. Одоогоор манай улсаас хамгийн олон хүн суралцаж байгаа орноор ОХУ, БНХАУ орж байна. Эдгээр улсад тус бүр жилдээ 300 хүн суралцуулдаг. 2011-2012 оны тухайд ОХУ-д 300, БНХАУ-д 315 хүн суралцсан. Энэ жилийн хувьд ч гэсэн энэ тоонд өөрчлөлт орохгүй байх. -Суралцагчид ер нь ямар чиглэлээр түлхүү суралцаж байна вэ? -БСШУЯ-наас сонгон шалгаруулалтыг зохион байгуулж мэргэжлийн чиглэлээр өөрсдөө тогтоодог. Тэгэхээр бид аль болохоор инженер, технологи, байгалийн ухаан, нарийн технологийн мэргэжлээр суралцуулахаар зорьж байна. Өөрөөр хэлбэл, нийт суралцагчдын 70 орчим хувийг энэ чиглэлээр суралцуулж байна гэж ойлгож болно. Үүнээс гадна БНХАУ-ын Элчин сайдын яаманд хүсэлт гаргаж, манай улсад эрэлт хэрэгцээтэй байгаа мэргэжлийн чиглэлийг гаргаж өгдөг. Хятад, Чех улсад суралцах хүмүүсийн шалгалтыг Элчин сайдын яамд нь бие даан зохион байгуулж байгаа. Харин бусад оронд суралцах хүмүүсийн сонгон шалгаруулалтыг БСШУЯ, тухайн улсаас манай улсад суугаа Элчин сайдын яамтай хамтран зохион байгуулдаг. -Одоогоор хоёр улсын Засгийн газрын гэрээгээр хэчнээн хүн суралцаж байна вэ? -Энэ хичээлийн жилийн байдлаар 3400 гаруй оюутан Засгийн газар хоорондын гэрээний дагуу суралцаж байна. Өөрөөр хэлбэл, хоёр улсын Засгийн газар хоорондын гэрээ, хэлэлцээрийн дагуу 2011-2012 оны хичээлийн жилд ОХУ-д 275, БНХАУ-д 315 үүний 220 нь ӨМӨЗО-д, Туркт 90, Энэтхэгт 30, Польшид 22, Вьетнамд 18, Лаост найм, Чехэд зургаа, Унгар, Казахстанд тус бүр дөрөв, Румын, Украйнд тус бүр гурав, Болгар, Куба, БНАСАУ-д тус бүр хоёр хүн эдгээр орны Засгийн газрын тэтгэлгээр элсэн суралцаж байна. Мэдээж үүнээс гадна хувийн зардлаараа суралцаж байгаа оюутан байгаа. Эдгээр оюутны нэгдсэн мэдээлэл одоогоор алга байна. -Дээрх 16 оронд гэрээний дагуу суралцдаг юм байна. Эдгээр орны тоог нэмэх боломж бий юу? -Боломжтой улс орнуудтайгаа гэрээ хэлэлцээр хийж байгаа. Үүнээс гадна Засгийн газар хоорондын гэрээгээр суралцуулах үйл ажиллагаа нь олон талтай. Улс бүхэн гэрээ байгуулж, Засгийн газар хооронд гэрээгээр оюутан авч сургуульдаа сургадаг энэ систем үйлчилдэггүй. Нэг үгээр хэлбэл, манайхны суралцах сонирхолтой байдаг өндөр хөгжилтэй орнууд болох АНУ, Англи, Австрали гэх мэт орнууд Засгийн газар хоорондын гэрээ байгуулаад суралцагчдыг хүлээн авч, сургуульдаа хуваарилан суралцуулдаггүй. Тийм учраас бид энэ улсуудтай гэрээ байгуулаад оюутан суралцуулах боломж хомс. Харин эдгээр орнуудад 2010 оноос эхлэн хөтөлбөр хэрэгжүүлэх хэлбэрээр Герман, АНУ-тай 150 хүнийг тэтгэлгээр сургах хөтөлбөр хэрэгжиж байгаа. -Иргэдийн хувьд тэтгэлэгт хөтөлбөр болон гэрээний хүрээнд сурах хүсэлтэй байдаг ч мэдээлэл хомс байдгаас сонгон шалгаруулалтад оролцож чаддаггүй гэдэг шүү дээ? -БСШУЯ-ны www.mecs.gov.mn вэб хуудсаар дамжуулан дээрх 16 орны мэдээллийг байнга хүргэж байгаа. Эндээс бүхий л мэдээллийг авах боломжтой. Үүнээс гадна Засгийн газар хоорондын тэтгэлэг зарлах юм бол суралцаж байгаа сургуулиараа дамжуулан мэдээлэл авах боломжтой. Энэ тэтгэлэгт мэдээж хэрэг нэг, хоёрдугаар курсын оюутан хамрагдах эрхтэй байдаг. Харин хувь хүн өөрөө Засгийн газрын тэтгэлгээр суралцах хүсэлтэй байгаа бол манай вэб хуудсаар орж мэдээлэл авна. -Одоо сонгон шалгаруулалт болох уу. Аль улсад суралцах сонгон шалгаруулалт болох вэ? -Одоогоор ӨМӨЗО-ны Засгийн газрын тэтгэлэг зарлагдаад байна. Харин гуравдугаар сарын сүүлээр Зүүн Европын таван оронд тэтгэлгээр суралцах бүртгэл явагдаад сонгон шалгаруулалт болсон. Одоогоор дүн нь хараахан гараагүй. Тодруулбал, Польш улсад 20 бакалавр, Унгарт таван бакалавр, Болгарт доктор, магистр тус бүр нэг, Румынд нэг доктор, хоёр магистр, Хорватад хоёр магистр гээд гэрээ хэлэлцээрийн хүрээнд сургахаар болсон. Засгийн газрын гэрээгээр сурна гэдэг нь яадаг юм гэхээр цаад улсын Засгийн газар сургалтын төлбөрийг даана, амьжиргааны тэтгэлэг олгоно. Амьжиргааны тэтгэлэг олгохгүй бол манай улсын Засгийн газраас тэтгэлэг олгоно. Харин үүний оронд эдгээр улсын суралцагчдыг хүлээн авч тэтгэлгээр суралцуулдаг. Э.Пагмадулам ""МОНГОЛЫН МЭДЭЭ"" сонин",боловсрол
"Улсын хэмжээнд ганцхан байдаг харааны бэрхшээлтэй хүүхдийн 116 дугаар сургуулийн захирал С.Энхтуяа, хөгжмийн багш Б.Батболдтой хамтран сурагчдынхаа тоглолтын орлогыг хувьдаа завшсан гэх мэдээлэл нийтэд цацагдаад байгаа. Учир нь тус мэдээллийг хэвлэлийнхэнд 116 дугаар сургуульд нийгмийн ажилтан байсан н.Жанибек, нярав С.Хотхүү нар энэ сарын 2-нд өгсөн юм. Тэд хэлэхдээ “Тусгай 116 дугаар сургуулийн захирал, багш хамтран харааны бэрхшээлтэй хүүхдүүдийн тоглолтын орлогыг хувьдаа завшиж, хүүхдүүдийг мөлжиж” байна гэсэн билээ. Тэгвэл энэхүү мэдээллийг тус сургуулийн багш нар эрс няцааж,  өнөөдөр  хэвлэлийн бага хурал зохион байгууллаа. Мэдээллийн хуралд сургуулийн захирал С.Энхтуяа оролцоно гэсэн ч тэрбээр ирсэнгүй. 23 хүний бүрэлдэхүүнтэй баг БНСУ-ыг зорьсон бөгөөд нийт зардал 17 сая төгрөг болсон гэв. Шалтгааныг нь тодруулахад, хөгжмийн багш Б.Батболд “Захирал эмнэлэгт хэвтэхээр оочер захисан байсан. Өнөөдөр оочерных нь дараалал ирсэн тул эмнэлэгтээ хэвтсэн байгаа. Иймд хуралд оролцох боломжгүй боллоо” гэв. Ингээд сургуулийн 10 гаруй багш нар мэдээлэл хийж, хүүхдийн авъяасыг мөлжсөн хэрэгт яагаад унасанаа тайлбарласан юм. Тэдний хэлж буйгаар 2011 онд Монгол Улсын Ерөнхий сайдын шугамаар 116 дугаар сургуулийн сурагч, багш нарт БНСУ-д аялан тоглолт хийх боломж гарсан байна. Гэхдээ нэг талын зардлаа өөрсдөө гаргах нөхцөлтэй байжээ. Харин БНСУ-д очсоны дараах бүх зарлыг тус улсаас гаргасан аж. Ингээд сурагч, багш нийлсэн 23 хүний бүрэлдэхүүнтэй баг БНСУ-ыг зорьсон бөгөөд нийт зардал 17 сая төгрөг болсон байна. Энэхүү 1 7 сая төгрөгийг тухайн үед хүүхдүүдтэй хамт явсан долоон багш цалингийн зээл авч, бүрдүүлсэн гэлээ. Ингээд багш нарын цалингийн зээлийг төлөх үүднээс өнгөрсөн 2012, 2013 онд 116 дугаар сургуулийнхан 10 орчим удаагийн тоглолт зохион байгуулж, дээрх мөнгийг босгосон. Үүнийг н.Жанибек, С.Хотхүү нар буруу ойлгож, нийт багш ажилчдын нэр хүндэд бүдүүлгээр халдлаа хэмээн тус сургуулийн технологийн багш Ц.Дэлгэржаргал мэдэгдлээ. Харин математикийн багш Г.Бямбасүрэнгийн хэлж буйгаар н.Жанибек нь тус сургуульд зургаан сар ажилласан бөгөөд өөрийн хүсэлтээр ажлаас гарсан. Харин нярав С.Хотхүү нь ажил мэргэжлийн шаардлага хангаагүй, удаа дараа алдаа гаргасан тул ажлаас чөлөөлөгдсөн гэнэ. Иймд тэдний хийсэн мэдээлэл 116 дугаар сургуулийн багш нарыг төлөөлөх ямар ч боломжгүй гэж байв. 2008 ОНООС ХОЙШ 50-ИАД БАГШИЙГ ЯМАР Ч ШАЛТГААНГҮЙ ХАЛСАН Ийнхүү 116 дугаар сургуулийн багш нар мэдээлэл хийж байх үед тус сургуулийн нийгмийн ажилтан байсан гэх н.Жанибек орж ирсэнээр байдлыг нэлээд хурцатгаад авсан. Тэрбээр хэлэхдээ “Та бүхний явуулж байгаа хууль бус үйлдлийг би нийгмийн ажилтан хүнийхээ хувьд тэсээд сууж чадахгүй. Би үнэнийг л хэлсэн” гэсэн юм. Түүнээс зарим зүйлийг тодруулсан юм. -Таныг ямар нэгэн шахалт дарамтаар бус, өөрийн хүсэлтээр ажлаас гарсан гэж 116 дугаар сургуулийн багш нар мэдээлж байна. Энэ үнэн үү? -Үнэн. Гэхдээ намайг сургуулийн захирал С.Энхтуяа байнга дарамталж, ажлаасаа гар, яв зайл гэж хөөдөг байсан. -Та хууль бус үйлдэлтэй хэзээ ч нийлэхгүй гэлээ. Яг ямар хууль бус зүйл 116 дугаар сургуульд болоод байна? -Сургуулийн захирал 2008 оноос хойш 50 гаруй багшийг ажлаас нь ямар ч шалтгаангүй халсан. Энэ тухай мэдээлэл надад нэр устайгаа байгаа. Ер нь С.Энхтуяа захирал хүнтэй маш ёс зүйгүй харьцдаг. Ер нь энэ талаар та бүхэн надаас биш халагдсан тэр ахмад багш нараас асуувал илүү их зүйл хэлээд өгнө. Мөн энэ сургуулийн ҮЭХороо нийт ажилчдынхаа төлөө бус захиралынхаа талд ажилладаг нь өөрөө маш том хууль зөрчиж байгаа хэрэг гэсэн юм.",боловсрол
"2012 оны олимпийн тоглолт үзэх тасалбарыг нууцаар борлуулж байж болзошгүй гэсэн мэдээллийг албан ёсоор шалгаж эхэлжээ. Уг мэдээллийг “The Sunday Times” сонин анх мэдээлж байсан юм. Тэгвэл тус сонины мэдээлэл үнэний ортой байсан учраас олон улсын олимпийн хороо шалгалт хийж байгаа аж. Тус сонины ажилтнууд өөрсдийгөө Ойрхи Дорнодын бүс нутгийн хүмүүс болгон жүжиглэж, нэлээд орны үндэсний олимпийн хорооныхонтой холбоо тогтоожээ. Үүнийхээ хүчинд тэд дор хаяж 54 орны спортын байгууллагын ажилтнуудтай ярьж, хуурамч тасалбар олж авахаар тохиролцсон байна. Тэгэхдээ тасалбарын үнийг 10 дахин нэмэхээр ярилцсан аж. Энэ мэдээллээс өмнө Украины Үндэсний олимпийн хорооны ерөнхий нарийн бичгийн дарга Владимир Геращенко яг ийм хэрэгт холбогдож огцорсон билээ. Тэрээр 100 гаруй тасалбарыг нэлээд хэдэн мянган фунтээр зарах гэж байсныг ВВС-гийн сэтгүүлчид илчилсэн юм. Дашрамд сонирхуулахад, Олимпийг зохион байгуулагчид уг тоглолтод оролцогч орнуудын үндэсний олимпийн хороодоор дамжуулан нэг сая гаруй тасалбар борлуулж буй юм. “СПОРТЫН ШУУДАН” сонин",спорт
"Монголын спортын сэтгүүлчдийн холбоо /МССХ/-ны гишүүнчлэлтэй “Үзэгтэй тамирчид”-д хамгийн их хэрэгтэй “зэвсэг”-т тооцогдох AIPS карт гардуулах ёслол өнөөдөр боллоо. Монголын үндэсний олимпийн хорооны байранд болсон уг ёслолд 30 гаруй спортын сэтгүүлч оролцож, Олон улсын спортын сэтгүүлчдийн холбоо /AIPS/-ны карт гардсан юм. Олон улсын тэмцээн, уралдаан сурвалжлахад давуу тал болж, хөнгөлөлт эдлэх боломж олгодог AIPS картыг жил бүр олон улсын холбоондоо захиалан эзэмшдэг бөгөөд Олон улсын спортын сэтгүүлчдийн холбооны гишүүний карттай спортын сэтгүүлчид гадаадад болж буй тэмцээн, уралдаан сурвалжлахдаа онгоцны тасалбар, сурвалжлах эрх, зарим зочид буудлын төлбөр зэрэгт хөнгөлөлт эдлэх боломжтой байдаг юм. 2014 оны AIPS картын эхний хэсгийг 100 гаруй спортын сэтгүүлчдийг эгнээндээ нэгтгэсэн Монголын спортын сэтгүүлчдийн холбооны Хүндэт ерөнхийлөгч Ж.Отгонцагаан, Ерөнхийлөгч Ч.Отгонбаатар, МССХ-ны дэд ерөнхийлөгч Б.Цагаанбаатар, дэд ерөнхийлөгч П.Баярмагнай, Хяналтын зөвлөлийн дарга Л.Цагаандалай, Удирдах зөвлөлийн гишүүн Д.Батжаргал, Р.Манлай нарын тэргүүтэй 20-иод сэтгүүлч гардлаа. Монголын спортын сэтгүүлчдийн Олон улсын тэмцээн сурвалжлах эрхийн AIPS картыг захиалахад  “Оюутолгой” компаниас дэмжлэг үзүүлж, МССХ-той хамтран ажиллажээ.  МССХ-ны дэд ерөнхийлөгч П.Баярмагнай, УЗ-ийн гишүүн Б.Хосбаяр МССХ-ны дэд ерөнхийлөгч П.Баярмагнай, Ерөнхийлөгч Ч.Отгонбаатар, Хяналтын зөвлөлийн гишүүн О.Амарсайхан. МССХ-ны Ерөнхийлөгч Ч.Отгонбаатар, NTV телевизийн сэтгүүлч А.Түмэнбаяр МССХ-ны Ерөнхийлөгч Ч.Отгонбаатар, ""Зууны мэдээ"" сониын сэтгүүлч Д.Жавхлан МССХ-ны дэд ерөнхийлөгч П.Баярмагнай, МССХ-ны Ерөнхийлөгч Ч.Отгонбаатар, SPS телевизийн сэтгүүлч Э.Амарсайхан.",спорт
